ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
137.220.225.56,443,JP,东京,NRT,152194,CTG Server Limited,58.0,1925,True,True,Guangzhou: 59.43.144.209,https://globalping.io?measurement=2rbXIpq2pTKiKsdpu00020wGf,cn2_gt,2026-08-13T05:37:25Z,cn2_gt,Guangzhou: 59.43.144.209
207.56.226.132,443,JP,东京,NRT,140227,"Hong Kong Communications International Co., Limited",58.0,1116,True,True,"Guangzhou: 59.43.144.209, 59.43.183.2, 59.43.39.238; Beijing: 59.43.246.26, 59.43.39.86, 59.43.46.82",https://globalping.io?measurement=2lB2EfhpUlFhNOwgM00020wFF,cn2_gt,2026-08-13T04:09:36Z,cn2_gt,"Guangzhou: 59.43.144.209, 59.43.183.2, 59.43.39.238; Beijing: 59.43.246.26, 59.43.39.86, 59.43.46.82"
151.242.224.43,443,TW,台北,TPE,15143,"Tomorin Network, LLC",58.0,1343,True,True,"Guangzhou: 59.43.248.202; Nanjing: 59.43.139.117, 59.43.248.202",https://globalping.io?measurement=2UHHD7KqKCX0NKm1f00020wGU,cn2_gt,2026-08-13T05:27:01Z,cn2_gt,"Guangzhou: 59.43.248.202; Nanjing: 59.43.139.117, 59.43.248.202"
154.36.154.29,443,JP,东京,NRT,979,NetLab Global,72.0,1435,True,True,"Nanjing: 59.43.46.97; Beijing: 59.43.246.26, 59.43.39.130, 59.43.46.82; Shenzhen: 59.43.130.206, 59.43.141.146, 59.43.246.26",https://globalping.io?measurement=2vAIXYrxHajd2VSko00020wFq,cn2_gt,2026-08-13T04:46:45Z,cn2_gt,"Nanjing: 59.43.46.97; Beijing: 59.43.246.26, 59.43.39.130, 59.43.46.82; Shenzhen: 59.43.130.206, 59.43.141.146, 59.43.246.26"
142.248.139.237,443,JP,东京,NRT,140227,"Hong Kong Communications International Co., Limited",91.0,1493,True,True,"Nanjing: 59.43.139.137, 59.43.183.2, 59.43.39.62",https://globalping.io?measurement=2Wph93t3e0bthhNb100020wFk,cn2_gt,2026-08-13T04:40:33Z,cn2_gt,"Nanjing: 59.43.139.137, 59.43.183.2, 59.43.39.62"
156.224.28.67,443,HK,西雅图,SEA,154321,CORENET CLOUD SDN. BHD.,148.0,1594,True,True,"Guangzhou: 59.43.248.246; Beijing: 59.43.132.34, 59.43.248.2",https://globalping.io?measurement=2JOmE2bGdu49clJ1700020wGC,cn2_gt,2026-08-13T05:08:58Z,cn2_gt,"Guangzhou: 59.43.248.246; Beijing: 59.43.132.34, 59.43.248.2"
108.165.255.81,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,0.0,2122,True,True,Beijing: 59.43.142.234,https://globalping.io?measurement=2w7qaciXhF03WhXk300020wGC,cn2_gt,2026-08-13T05:08:25Z,cn2_gt,Beijing: 59.43.142.234
154.64.246.151,443,HK,香港,HKG,979,NetLab Global,0.0,1663,True,True,"Nanjing: 59.43.139.109, 59.43.188.122; Shenzhen: 59.43.188.122",https://globalping.io?measurement=2yzg8AxKvZs4cbX1L00020wEI,cn2_gt,2026-08-13T03:11:05Z,cn2_gt,"Nanjing: 59.43.139.109, 59.43.188.122; Shenzhen: 59.43.188.122"
166.88.11.97,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,0.0,,True,True,Beijing: 59.43.130.126; Guangzhou: 59.43.16.182,https://globalping.io?measurement=27O0u95rJtrEJzfb400020wH5,cn2_gt,2026-08-13T06:04:00Z,cn2_gt,Beijing: 59.43.130.126; Guangzhou: 59.43.16.182
166.88.61.166,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,0.0,,True,True,"Beijing: 59.43.130.106, 59.43.145.62; Beijing: 59.43.145.62",https://globalping.io?measurement=2lkywqLOzarKNrRZl00020wGD,cn2_gt,2026-08-13T05:09:15Z,cn2_gt,"Beijing: 59.43.130.106, 59.43.145.62; Beijing: 59.43.145.62"
166.88.61.58,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,0.0,1211,True,True,Guangzhou: 59.43.22.41; Nanjing: 59.43.139.129; Beijing: 59.43.130.154,https://globalping.io?measurement=2tZefZ2dzi1RIoYCy00020wGe,cn2_gt,2026-08-13T05:37:12Z,cn2_gt,Guangzhou: 59.43.22.41; Nanjing: 59.43.139.129; Beijing: 59.43.130.154
166.88.77.118,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,0.0,2332,True,True,Nanjing: 59.43.139.113; Beijing: 59.43.137.222,https://globalping.io?measurement=2yQMKZt1DEQsK1oT200020wFq,cn2_gt,2026-08-13T04:46:43Z,cn2_gt,Nanjing: 59.43.139.113; Beijing: 59.43.137.222
23.27.0.65,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,0.0,1442,True,True,Nanjing: 59.43.139.109,https://globalping.io?measurement=2stb1oDMwgMUYI2Lw00020wGj,cn2_gt,2026-08-13T05:41:54Z,cn2_gt,Nanjing: 59.43.139.109
38.47.213.57,443,HK,香港,HKG,140227,"Hong Kong Communications International Co., Limited",0.0,1318,True,True,Nanjing: 59.43.132.153,https://globalping.io?measurement=2Msh7cmr25nWGHlXo00020wF6,cn2_gt,2026-08-13T04:00:43Z,cn2_gt,Nanjing: 59.43.132.153
64.90.24.26,443,HK,香港,HKG,979,NetLab Global,0.0,1411,True,True,Nanjing: 59.43.132.149; Xi'an: 59.43.156.129,https://globalping.io?measurement=27uSTgcGacpPHUc6M00020wER,cn2_gt,2026-08-13T03:19:14Z,cn2_gt,Nanjing: 59.43.132.149; Xi'an: 59.43.156.129
64.90.28.28,443,HK,香港,HKG,61112,AKILE LTD,0.0,1733,True,True,"Guangzhou: 59.43.187.182; Nanjing: 59.43.139.129, 59.43.183.106",https://globalping.io?measurement=2lAE0HrZAmtwuZZNy00020wF6,cn2_gt,2026-08-13T04:01:06Z,cn2_gt,"Guangzhou: 59.43.187.182; Nanjing: 59.43.139.129, 59.43.183.106"
64.90.7.42,443,HK,香港,HKG,979,NetLab Global,0.0,1170,True,True,Guangzhou: 59.43.248.250,https://globalping.io?measurement=2OBtop16g4Ek0Eszf00020wFc,cn2_gt,2026-08-13T04:33:02Z,cn2_gt,Guangzhou: 59.43.248.250
87.83.108.38,443,HK,香港,HKG,49304,Sakura Link Limited,0.0,,True,True,"Guangzhou: 59.43.184.122; Beijing: 59.43.182.42, 59.43.188.234, 59.43.19.94, 59.43.249.181",https://globalping.io?measurement=2JAX90QqeGnC2USLe00020wHi,cn2_gt,2026-08-13T06:42:47Z,cn2_gt,"Guangzhou: 59.43.184.122; Beijing: 59.43.182.42, 59.43.188.234, 59.43.19.94, 59.43.249.181"
